main/loss,main/nll,lr,epoch,iteration,elapsed_time,validation/main/loss,validation/main/nll
1311.9419235229493,1311.9419235229493,0.0009999100035999167,0,10,8.232430107000027,,
994.318359375,994.318359375,0.000999810017099032,0,20,13.541899919000002,,
713.1627983093261,713.1627983093261,0.0009997100405963481,0,30,19.444578979000028,,
795.3083190917969,795.3083190917969,0.000999610074090864,0,40,24.85058160600005,,
385.6326591491699,385.6326591491699,0.0009995101175815809,0,50,30.452867448999996,,
347.9131851196289,347.9131851196289,0.0009994101710674988,0,60,36.023438639000005,,
383.127533531189,383.127533531189,0.0009993102345476183,0,70,43.852152085,,
539.5058932304382,539.5058932304382,0.00099921030802094,0,80,49.063720311,,
524.3666770935058,524.3666770935058,0.0009991103914864653,1,90,60.62207187800004,849.960636138916,849.960636138916
577.1570648193359,577.1570648193359,0.000999010484943194,1,100,66.58034604800002,,
298.57863159179686,298.57863159179686,0.0009989105883901274,1,110,72.85379441100002,,
332.61991958618165,332.61991958618165,0.0009988107018262667,1,120,78.78529159600004,,
533.5201538085937,533.5201538085937,0.000998710825250613,1,130,84.94698978500003,,
484.56463317871095,484.56463317871095,0.000998610958662167,1,140,90.48262644300002,,
328.04933700561526,328.04933700561526,0.0009985111020599307,1,150,96.419476175,,
189.61224212646485,189.61224212646485,0.0009984112554429052,1,160,103.41145812100001,,
259.28627319335936,259.28627319335936,0.000998311418810092,2,170,114.94509592700001,663.8195247650146,663.8195247650146
311.8033615112305,311.8033615112305,0.000998211592160493,2,180,120.47940548700001,,
228.75873260498048,228.75873260498048,0.0009981117754931095,2,190,126.45296098600005,,
266.8697425842285,266.8697425842285,0.000998011968806944,2,200,131.89942351500002,,
206.32012748718262,206.32012748718262,0.0009979121721009976,2,210,138.48365493100005,,
290.41407585144043,290.41407585144043,0.000997812385374273,2,220,144.14934911200004,,
244.2027847290039,244.2027847290039,0.000997712608625772,2,230,150.81001720200004,,
276.71942443847655,276.71942443847655,0.0009976128418544969,2,240,156.353054327,,
290.1432823181152,290.1432823181152,0.00099751308505945,2,250,161.79527735700003,,
228.9497142791748,228.9497142791748,0.0009974133382396335,3,260,174.556868602,219.91197299957275,219.91197299957275
262.570068359375,262.570068359375,0.0009973136013940506,3,270,181.02505744,,
359.91972122192385,359.91972122192385,0.0009972138745217031,3,280,186.58382168400004,,
268.1414855957031,268.1414855957031,0.000997114157621594,3,290,192.556549561,,
156.49458503723145,156.49458503723145,0.0009970144506927265,3,300,198.30027148000005,,
290.953108215332,290.953108215332,0.0009969147537341031,3,310,205.08757824600002,,
297.0349266052246,297.0349266052246,0.000996815066744727,3,320,210.93724687000002,,
237.46106414794923,237.46106414794923,0.000996715389723601,3,330,216.79008147800005,,
178.87943954467772,178.87943954467772,0.0009966157226697291,4,340,228.18321918700002,1017.340705871582,1017.340705871582
278.76194763183594,278.76194763183594,0.0009965160655821138,4,350,235.143500754,,
283.1135704040527,283.1135704040527,0.0009964164184597583,4,360,241.03955031600003,,
303.15797305107117,303.15797305107117,0.0009963167813016674,4,370,247.645582763,,
239.17489433288574,239.17489433288574,0.0009962171541068436,4,380,253.443408664,,
256.33914561271666,256.33914561271666,0.0009961175368742913,4,390,259.721170391,,
285.5057704925537,285.5057704925537,0.000996017929603014,4,400,265.47693452600004,,
235.35559005737304,235.35559005737304,0.0009959183322920155,4,410,271.769082011,,
106.71514682769775,106.71514682769775,0.0009958187449402994,5,420,281.739084274,271.2274169921875,271.2274169921875
107.06169548034669,107.06169548034669,0.0009957191675468709,5,430,290.3867051,,
232.63199691772462,232.63199691772462,0.0009956196001107333,5,440,295.7136971670001,,
145.97741355895997,145.97741355895997,0.0009955200426308916,5,450,302.462917469,,
195.28704109191895,195.28704109191895,0.00099542049510635,5,460,308.03131930000006,,
246.29086685180664,246.29086685180664,0.0009953209575361127,5,470,314.089292547,,
180.81973114013672,180.81973114013672,0.0009952214299191848,5,480,320.08055502900004,,
205.98885345458984,205.98885345458984,0.0009951219122545703,5,490,326.216788221,,
141.61590614318848,141.61590614318848,0.0009950224045412745,5,500,331.48083563299997,,
163.97837142944337,163.97837142944337,0.000994922906778302,6,510,344.60502919500004,200.48020362854004,200.48020362854004
219.06520233154296,219.06520233154296,0.000994823418964658,6,520,350.15315949,,
110.05887565612792,110.05887565612792,0.0009947239410993485,6,530,356.24490257800005,,
167.82529563903807,167.82529563903807,0.0009946244731813773,6,540,361.54441200400004,,
278.8742027282715,278.8742027282715,0.0009945250152097504,6,550,368.654516865,,
158.1685525894165,158.1685525894165,0.0009944255671834729,6,560,374.335318249,,
464.2196935534477,464.2196935534477,0.0009943261291015509,6,570,380.222397903,,
298.3428901672363,298.3428901672363,0.0009942267009629894,6,580,385.73346929600007,,
318.31465702056886,318.31465702056886,0.0009941272827667942,7,590,398.451861536,570.9130802154541,570.9130802154541
154.7199390411377,154.7199390411377,0.000994027874511971,7,600,405.272561707,,
200.3681095123291,200.3681095123291,0.0009939284761975263,7,610,412.026014357,,
181.60109214782716,181.60109214782716,0.0009938290878224658,7,620,417.28606015,,
144.198575592041,144.198575592041,0.0009937297093857958,7,630,423.29485739300003,,
192.2287239074707,192.2287239074707,0.0009936303408865223,7,640,428.740353132,,
175.15648231506347,175.15648231506347,0.0009935309823236513,7,650,435.296694776,,
139.12598705291748,139.12598705291748,0.0009934316336961896,7,660,440.855851088,,
131.72401504516603,131.72401504516603,0.0009933322950031439,7,670,446.26070406200006,,
176.1384588241577,176.1384588241577,0.00099323296624352,8,680,458.933120207,135.43854999542236,135.43854999542236
110.07325925827027,110.07325925827027,0.000993133647416325,8,690,466.063854172,,
150.40457649230956,150.40457649230956,0.000993034338520566,8,700,471.962194886,,
112.26943874359131,112.26943874359131,0.0009929350395552496,8,710,478.52879519400005,,
76.21098117828369,76.21098117828369,0.0009928357505193828,8,720,484.00899860800007,,
154.7027503967285,154.7027503967285,0.0009927364714119732,8,730,489.907175456,,
93.95149421691895,93.95149421691895,0.000992637202232027,8,740,495.572502181,,
89.0718445777893,89.0718445777893,0.0009925379429785524,8,750,502.091561994,,
98.32960987091064,98.32960987091064,0.000992438693650557,9,760,514.0065942260001,186.40983200073242,186.40983200073242
88.7130163192749,88.7130163192749,0.0009923394542470474,9,770,521.073776555,,
78.75807304382325,78.75807304382325,0.0009922402247670317,9,780,527.749783082,,
74.71826114654542,74.71826114654542,0.0009921410052095175,9,790,534.043554703,,
61.8190860748291,61.8190860748291,0.0009920417955735128,9,800,539.8489254450001,,
58.645140647888184,58.645140647888184,0.0009919425958580248,9,810,546.1223641820001,,
57.89656105041504,57.89656105041504,0.000991843406062062,9,820,551.776425205,,
96.16362295150756,96.16362295150756,0.0009917442261846328,9,830,558.1611302590001,,
120.66067061424255,120.66067061424255,0.000991645056224745,10,840,566.668764018,750.8353328704834,750.8353328704834
